,Best_params,Best_scores,Baseline,Model,diff,Better than Baseline?
7,"{'kneighborsregressor__n_neighbors': 50, 'kneighborsregressor__weights': 'distance'}",0.15882044469510403,-2.9675130733375354e-05,KNN_Regression,-0.1588501198258374,Yes
8,"{'kneighborsregressor__n_neighbors': 50, 'kneighborsregressor__weights': 'distance'}",0.16497913919006113,-0.000599741539949461,KNN_Regression,-0.1655788807300106,Yes
9,"{'kneighborsregressor__n_neighbors': 50, 'kneighborsregressor__weights': 'distance'}",0.14825422517444875,-0.0007262032326853518,KNN_Regression,-0.1489804284071341,Yes
0,"{'xgbregressor__learning_rate': 0.01, 'xgbregressor__max_depth': 5}",0.6849102292697009,-0.0004599110544376561,XGBRegressor,-0.6853701403241386,Yes
1,"{'xgbregressor__learning_rate': 0.01, 'xgbregressor__max_depth': 5}",0.6595689530182367,-0.0003134642758761963,XGBRegressor,-0.6598824172941129,Yes
2,"{'xgbregressor__learning_rate': 0.01, 'xgbregressor__max_depth': 5}",0.6766993244504593,-0.0003927507245198303,XGBRegressor,-0.6770920751749792,Yes
3,"{'xgbregressor__learning_rate': 0.01, 'xgbregressor__max_depth': 5}",0.6749089893210216,-0.00031523044597459027,XGBRegressor,-0.6752242197669962,Yes
4,"{'xgbregressor__learning_rate': 0.01, 'xgbregressor__max_depth': 5}",0.6769067133398459,-0.0004254451844456497,XGBRegressor,-0.6773321585242915,Yes
5,"{'xgbregressor__learning_rate': 0.01, 'xgbregressor__max_depth': 5}",0.7071155728015512,-0.001011069904826245,XGBRegressor,-0.7081266427063775,Yes
6,"{'xgbregressor__learning_rate': 0.01, 'xgbregressor__max_depth': 5}",0.6475201555873427,-0.0010825019964628702,XGBRegressor,-0.6486026575838055,Yes
7,"{'xgbregressor__learning_rate': 0.01, 'xgbregressor__max_depth': 5}",0.6474627277221907,-2.9675130733375354e-05,XGBRegressor,-0.6474924028529241,Yes
8,"{'xgbregressor__learning_rate': 0.01, 'xgbregressor__max_depth': 5}",0.6593129675682674,-0.000599741539949461,XGBRegressor,-0.6599127091082169,Yes
9,"{'xgbregressor__learning_rate': 0.01, 'xgbregressor__max_depth': 5}",0.6753602143361674,-0.0007262032326853518,XGBRegressor,-0.6760864175688528,Yes
